"id","article_id","commande_id"
1,272005,360009
2,215046,360017
3,367004,360017
4,249050,360017
5,,360019
6,,355034
7,325075,355034
8,249137,360025
9,295005,365032
10,247040,362048
11,193010,367052
12,310012,367052
13,,361002
14,183029,355049
15,,366053
16,,366053
17,310012,360009
18,,360060
19,270001,360060
20,362052,355034
21,248033,364076
22,322148,364076
23,289002,364076
24,362054,362070
25,247080,362070
26,358002,365064
27,245091,360073
28,285011,365066
29,327079,367079
30,326085,367079
31,326084,367079
32,219037,366076
33,297055,365071
34,362054,365071
35,309025,366076
36,,365075
37,214015,367087
38,,367087
39,215061,364093
40,,355103
41,135012,355103
42,326049,360084
43,191011,365098
44,,366090
45,246116,366090
46,,365109
47,293007,364109
48,278015,364109
49,,364109
50,221029,358103
51,285011,367118
52,325075,367118
53,364056,367118
54,364056,358059
55,218049,362119
56,246070,360123
57,287004,366117
58,,366117
59,326045,365064
60,325075,355142
61,320047,367025
62,305014,367145
63,248052,367145
64,227002,365150
65,305001,366132
66,246139,355049
67,247100,364159
68,249134,364159
69,311020,360145
70,215061,360145
71,,358114
72,330004,367158
73,245037,367158
74,359001,367158
75,362052,366146
76,245037,366146
77,286005,366144
78,,355171
79,,362172
80,293007,362172
81,364056,362172
82,322117,358145
83,,365176
84,298023,366163
85,322148,365180
86,327031,366162
87,214041,365180
88,364061,365180
89,241056,358149
90,,365182
91,325075,367194
92,,367194
93,241116,364201
94,200002,367196
95,359001,358164
96,216056,364210
97,359001,364210
98,,362199
99,,362199
100,322149,362199
101,,355197
102,,365180
103,364056,358180
104,241127,378014
105,325075,378017
106,217059,366201
107,285011,366201
108,323100,379019
109,325075,366204
110,269028,365233
111,364061,355232
112,313031,355232
113,278015,358204
114,,378031
115,255036,360009
116,359001,360009
117,323133,367025
118,323109,367025
119,247100,367025
120,217059,367025
121,293007,365020
122,322112,365020
123,273020,358025
124,,360019
125,305014,360019
126,,355034
127,327084,360028
128,323047,355049
129,325075,367051
130,362052,360057
131,287005,360057
132,217028,360057
133,243104,360060
134,194018,360060
135,278015,360060
136,293001,364076
137,325075,365064
138,278015,365064
139,287004,360073
140,323133,365066
141,325097,367079
142,358002,366076
143,297055,365075
144,323133,365075
145,,355034
146,246039,367087
147,270001,367087
148,,355103
149,271086,355103
150,362054,360019
151,322038,364093
152,310015,366097
153,273051,358103
154,297055,362119
155,312012,362119
156,308037,358111
157,309026,358111
158,245037,360123
159,271086,366117
160,305014,366117
161,215061,366118
162,325114,358119
163,359001,366118
164,249133,365140
165,191011,367138
166,324080,355142
167,,366126
168,364056,366126
169,215061,367145
170,270054,362143
171,241116,366132
172,135012,364159
173,,367158
174,327091,360150
175,244081,360150
176,216064,355171
177,320053,355171
178,366040,365176
179,321128,365180
180,257014,362143
181,217059,365182
182,293010,360176
183,305014,367194
184,297055,367051
185,359001,367194
186,325069,367194
187,217059,364201
188,249133,364201
189,322088,364201
190,305014,364210
191,278015,364210
192,,362199
193,322013,362199
194,327017,360150
195,364056,367206
196,278015,367206
197,277012,355197
198,323133,366188
199,247100,366188
200,322093,358180
201,325075,378014
202,248084,366201
203,241108,366201
204,191011,378017
205,216056,366202
206,293007,366204
207,359001,380008
208,,355227
209,322109,365233
210,362053,355232
211,,355232
212,327046,378014
213,304018,378031
214,367161,379029
215,,379029
216,,379029
217,295005,379029
218,,378036
219,244106,379041
220,,379041
221,241032,379041
222,,364255
223,320068,381014
224,321104,365263
225,183029,381029
226,241092,378017
227,358226,378017
228,323133,358238
229,,358238
230,,358238
231,,358244
232,249137,358244
233,314010,365273
234,241116,366253
235,322088,366253
236,326043,382032
237,272005,382032
238,245037,382032
239,325079,382032
240,321128,382032
241,,365282
242,,365282
243,245091,366201
244,325075,365251
245,,379069
246,287004,379069
247,362053,365251
248,272055,365251
249,326043,365292
250,320075,366264
251,249140,378081
252,,379084
253,247082,364308
254,365256,379090
255,323060,379090
256,322148,380008
257,321017,381054
258,322001,381054
259,293007,381054
260,323073,382053
261,271002,365311
262,299015,379029
263,322016,366294
264,,366294
265,301025,382089
266,362052,382091
267,,358330
268,,381093
269,,364247
270,,366313
271,358299,364361
272,365256,366310
273,,358342
274,,364368
275,270001,379147
276,,382091
277,320053,358330
278,298023,364375
279,,365379
280,299015,381118
281,183029,381118
282,183029,381118
283,325075,381119
284,313020,381119
285,217059,358357
286,218062,358357
287,325075,381124
288,323073,379158
289,,365383
290,378101,358362
291,365327,358362
292,381012,382126
293,287004,382126
294,,381130
295,,379166
296,298023,364382
297,272054,364382
298,358226,381143
299,,365393
300,,365393
301,362053,381147
302,,366313
303,,364396
304,325069,364396
305,298023,358383
306,326005,358383
307,183029,358383
308,381009,364396
309,183029,382150
310,325075,365352
311,200006,364402
312,381158,364388
313,255036,365237
314,,365237
315,216059,365412
316,241127,365412
317,359001,365412
318,295005,366355
319,243126,364409
320,366344,366355
321,,366355
322,219055,364409
323,,378180
324,183029,378031
325,320037,378031
326,382071,379197
327,272005,378185
328,274001,379197
329,,378185
330,322117,358330
331,,366366
332,,382051
333,312012,382170
334,,364421
335,381158,365434
336,365256,365434
337,295010,381188
338,217059,378199
339,135012,381185
340,321027,358422
341,322112,381185
342,323100,381185
343,243113,358424
344,323133,382176
345,381158,381200
346,217059,358434
347,244106,358434
348,295004,365020
349,359001,360017
350,,360019
351,271086,360019
352,191011,355034
353,,355034
354,217059,367052
355,295005,367052
356,,355049
357,,355049
358,366040,355049
359,273069,364064
360,277055,364064
361,321101,364064
362,,355059
363,330004,364076
364,243126,362070
365,220043,365064
366,249140,365066
367,305014,365066
368,216058,360073
369,241127,367087
370,,360073
371,,368002
372,323047,358086
373,368001,360019
374,191011,364109
375,243126,364109
376,,358025
377,247109,364110
378,298021,358025
379,321128,365098
380,241116,358103
381,269085,367118
382,217028,366105
383,295008,364124
384,364061,366110
385,194018,358111
386,320075,376002
387,217054,358111
388,305014,358114
389,326043,358114
390,364056,358114
391,322145,358114
392,241028,358119
393,271002,358119
394,322145,366118
395,249106,355142
396,312012,367138
397,,355143
398,366055,367025
399,,366105
400,293007,366126
401,245037,355147
402,287004,362143
403,,366131
404,325069,364159
405,244085,360145
406,305014,367158
407,321128,362156
408,245037,366148
409,323020,367051
410,,367176
411,183029,358145
412,244132,366163
413,359001,365180
414,183029,366163
415,321128,364195
416,216064,365182
417,243084,365182
418,272065,364195
419,247100,358153
